"1"	"Mountain View-gotebo SD I-3"	"Mountain View-gotebo School District I-3"	"0"
"2"	"Ambridge Area School District"	"Ambridge Area School District"	"1"
"1"	"Indianola Cmty School District"	"Indianola Community School District"	"1"
"11"	"Pontiac City School District"	"Pontiac City School District"	"1"
"1"	"Meeker Sch District Re-1"	"Meeker School District Re-1"	"0"
"8"	"Elgin Ind School Distist"	"Elgin Independent School Distist"	"0"
"1"	"Golden City School Dist R3"	"Golden City School District R3"	"0"
"3"	"Glover Elem Sch Dist 23"	"Glover Elementary School District 23"	"0"
"67"	"Salinas City Elem Sch District"	"Salinas City Elementary School District"	"0"
"1"	"Adrian Ind School District 511"	"Adrian Independent School District 511"	"0"
"20"	"El Rancho Unified School Dist"	"El Rancho Unified School District"	"1"
"10"	"Hamilton Twp School District-Atlantic"	"Hamilton Township School District-Atlantic"	"0"
"1"	"Banks School District 13"	"Banks School District 13"	"1"
"4"	"Greenbrier School District"	"Greenbrier School District"	"1"
"36"	"Southwest Region School Dist"	"Southwest Region School District"	"1"
"3"	"Brooks Co School District"	"Brooks County School District"	"1"
"1"	"Karnack Ind School District"	"Karnack Independent School District"	"1"
"1"	"Smoky Valley Usd 400"	"Smoky Valley Usd 400"	"0"
"63"	"Hays Cons Ind School District"	"Hays Consolidated Independent School District"	"1"
"35"	"Wasatch Co School District"	"Wasatch County School District"	"0"
"149"	"Blount Co School District"	"Blount County School District"	"1"
"1"	"Pine Valley Central Sch Dist"	"Pine Valley Central School District"	"1"
"6"	"Yorkville Cmty Unit SD 115"	"Yorkville Community Unit School District 115"	"1"
"9"	"Central Berkshire Regional SD"	"Central Berkshire Regional School District"	"0"
"43"	"Indian River School District"	"Indian River School District"	"1"
"1"	"O'fallon Twp School Dist 203"	"O'fallon Township School District 203"	"0"
"15"	"Pennsylvania Dept of Education"	"Pennsylvania Dept of Education"	"0"
"5"	"Franklin Twp Public Sch Dist"	"Franklin Township Public School District"	"0"
"4"	"Rocori Ind Sch Dist 750"	"Rocori Independent School District 750"	"0"
"33"	"Hamilton Heights Sch District"	"Hamilton Heights School District"	"0"
"8"	"East Prairie Sch District R2"	"East Prairie School District R2"	"0"
"11"	"Leroy-gridley Usd 245"	"Leroy-gridley Usd 245"	"0"
"1"	"Marked Tree School Dist 28"	"Marked Tree School District 28"	"0"
"11"	"Bristol Warren Regional SD"	"Bristol Warren Regional School District"	"0"
"112"	"East Side Union High Sch Dist"	"East Side Union High School District"	"0"
"9"	"Frontier Ctl School District"	"Frontier Central School District"	"1"
"1"	"School Administrative Unit 6"	"School Administrative Unit 6"	"0"
"16"	"School Administrative Unit 8"	"School Administrative Unit 8"	"0"
"38"	"School Administrative Unit 9"	"School Administrative Unit 9"	"0"
"11"	"Red Bank Borough Public SD"	"Red Bank Borough Public School District"	"0"
"24"	"Yuma Elem School District 1"	"Yuma Elementary School District 1"	"0"
"2"	"Northville Public School Dist"	"Northville Public School District"	"0"
"17"	"East Greenbush Central SD"	"East Greenbush Central School District"	"1"
"10"	"Vineland Public School Dist"	"Vineland Public School District"	"0"
"3"	"New Lisbon School District"	"New Lisbon School District"	"1"
"4"	"Monmouth-roseville Cusd 238"	"Monmouth-roseville Cusd 238"	"0"
"2"	"Camden-fairview School Dist 16"	"Camden-fairview School District 16"	"0"
"3"	"Western Brown Local Sch Dist"	"Western Brown Local School District"	"1"
"38"	"Crowley Ind School District"	"Crowley Independent School District"	"1"
"13"	"Norristown Area School Dist"	"Norristown Area School District"	"1"
"78"	"Lorain City School District"	"Lorain City School District"	"1"
"3"	"Sierra Sands Unified Sch Dist"	"Sierra Sands Unified School District"	"1"
"2"	"Laton Joint Unified Sch Dist"	"Laton Joint Unified School District"	"1"
"16"	"Noblesville School District"	"Noblesville School District"	"0"
"1"	"Mattole Unified Sch District"	"Mattole Unified School District"	"1"
"1"	"Rose Hill Unif School Dist 394"	"Rose Hill Unified School District 394"	"0"
"2"	"Carlisle Ind School District"	"Carlisle Independent School District"	"1"
"2"	"Corunna Public School District"	"Corunna Public School District"	"1"
"2"	"Yellville-summit School Dist"	"Yellville-summit School District"	"0"
"12"	"Taylor Ind School District"	"Taylor Independent School District"	"1"
"89"	"Emmetsburg Cmty Sch Dist"	"Emmetsburg Community School District"	"1"
"54"	"Aurora East School Dist 131"	"Aurora East School District 131"	"0"
"2"	"Toms River Regional Sch Dist"	"Toms River Regional School District"	"1"
"1"	"Chisago Lakes Isd 2144"	"Chisago Lakes Isd 2144"	"0"
"41"	"West Elk Unif School Dist 282"	"West Elk Unified School District 282"	"1"
"1"	"West Marshall Cmty School Dist"	"West Marshall Community School District"	"1"
"3"	"Chandler School District 1"	"Chandler School District 1"	"0"
"373"	"Springfield Public Sch Dist"	"Springfield Public School District"	"1"
"1"	"Fossil School District 21j"	"Fossil School District 21j"	"0"
"1"	"New Bremen Local School Dist"	"New Bremen Local School District"	"1"
"4"	"Avondale School District"	"Avondale School District"	"1"
